Id,person,url,Position,Body,"Political Connection",Relationship,Importance,size
34,"Geoffrey Berman",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Geoffrey_S._Berman.jpg/220px-Geoffrey_S._Berman.jpg,"U.S. Attorney for the S.D. of New York","Trump Organization","Rudy Guliani (Trump's Personal Lawyer)","Partner (Greenberg Traurig)","Strategic US Attorney Post",0
42,"Jefferson B. Sessions",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Jeff_Sessions%2C_official_portrait.jpg/220px-Jeff_Sessions%2C_official_portrait.jpg,"Attorney General (Former)",,,"First US Senator to Endorse Trump",,0
46,"Jessie K. Liu",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Jessie_K._Liu_official_photo.jpg/220px-Jessie_K._Liu_official_photo.jpg,"U.S. Attorney for the District of Columbia","Trump Organization","Steven Mnuchin (Secretary - Treasury Department)",Counsel,"Strategic US Attorney Post",0
63,"Makan Delrahim",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Makan_Delrahim_official_photo.jpg/220px-Makan_Delrahim_official_photo.jpg,"Assistant Attorney General for the Antitrust Division","2016 Presidential Campaign",,"Attorney (Trump-Pence Transition Team)",,0
71,"Michael B. Stuart",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Michael_B._Stuart.jpg/220px-Michael_B._Stuart.jpg,"U.S. Attorney for the S.D. of West Virginia","2016 Presidential Campaign",,"Campaign Director - West Virginia",,0
73,"Michael Sherwin",https://www.justice.gov/sites/default/files/styles/width_2/public/pages/images/2020/05/21/michaelsherwin.jpg?itok=Z3JEy7EY,"U.S. Attorney for the District of Columbia","Trump Organization",,"Prosecutor (Mar-A-Lago Intruder)","Strategic US Attorney Post",0
83,"Richard Donoghue",https://www.justice.gov/sites/default/files/styles/width_3/public/pages/images/2018/01/05/rdonoghue_headshot.jpg?itok=6tdGBkhl,"U.S. Attorney for the E.D. of New York","Trump Organization",,,"Strategic US Attorney Post",0
100,"Steven A. Engel",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Steven_Engel_official_photo.jpg/220px-Steven_Engel_official_photo.jpg,"Assistant Attorney General for the Office of the Legal Counsel","2016 Presidential Campaign",,"Attorney (Trump-Pence Transition Team)",,0
110,"William P. Barr",https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/William_Barr.jpg/220px-William_Barr.jpg,"Attorney General",,,,"Proponent of Executive Power",0
500,"Personal Interests",https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2017/05/12/104466932-PE_Color.530x298.jpg,,,,,,9
